Name,GW26_Status,GW26_Min,GW26_Pts,GW26_xG,GW26_xA,GW26_xGC,GW26_G,GW26_A,GW26_CS,GW26_Cost,GW27_Status,GW27_Min,GW27_Pts,GW27_xG,GW27_xA,GW27_xGC,GW27_G,GW27_A,GW27_CS,GW27_Cost
Andersen,Start,90,2,0.00,0.01,1.37,0,0,0,4.5,Bench,90,4,0.00,0.01,1.85,0,0,0,4.5
Ballard,Start,90,4,0.05,0.00,2.53,0,0,0,4.6,Start,90,4,0.00,0.06,1.88,0,1,0,4.6
Barry,Start,61,2,0.86,0.00,0.54,0,0,0,5.7,-,-,-,-,-,-,-,-,-,-
Brobbey,-,-,-,-,-,-,-,-,-,-,Start,69,1,0.00,0.11,1.45,0,0,0,5.5
Cherki,Start,19,1,0.00,0.00,0.58,0,0,0,6.5,Start,32,1,0.00,0.08,0.27,0,0,0,6.4
Cunha,Start,68,2,0.00,0.01,0.55,0,0,0,8.1,Start,90,3,0.15,0.01,0.62,0,0,1,8.1
Dúbravka,Bench,90,1,0.00,0.00,1.80,0,0,0,4.0,Bench,90,2,0.00,0.00,1.99,0,0,0,4.0
Estêvão,Start,63,3,0.06,0.02,0.01,0,0,1,6.4,Bench,0,0,0.00,0.00,0.00,0,0,0,6.4
Evanilson,Start,57,1,0.12,0.01,1.95,0,0,0,7.0,Start,79,2,0.00,0.00,3.09,0,0,1,6.9
Haaland,Capt,45,5,0.12,0.00,0.62,1,0,0,14.9,Capt,90,6,0.31,0.22,0.62,0,1,0,14.8
Hincapie,Bench,80,7,0.00,0.15,1.18,0,1,0,5.1,Start,90,4,0.02,0.27,0.76,0,0,0,5.1
James,Bench,0,0,0.00,0.00,0.00,0,0,0,5.6,Start,88,6,0.00,0.02,0.56,0,0,1,5.6
Mukiele,Start,90,2,0.11,0.13,2.53,0,0,0,4.6,Start,11,1,0.00,0.00,0.00,0,0,0,4.6
Raya,Start,90,2,0.00,0.00,1.51,0,0,0,6.0,Start,90,3,0.00,0.00,0.76,0,0,0,6.0
Saka,Start,20,1,0.00,0.00,0.74,0,0,0,9.8,Start,90,5,0.58,0.12,0.63,0,1,0,9.8
Summerville,Bench,89,3,0.02,0.16,0.40,0,0,1,5.6,Bench,90,3,0.72,0.33,0.65,0,0,1,5.7
