Name,GW19_Status,GW19_Min,GW19_Pts,GW19_xG,GW19_xA,GW19_xGC,GW19_G,GW19_A,GW19_CS,GW19_Cost,GW20_Status,GW20_Min,GW20_Pts,GW20_xG,GW20_xA,GW20_xGC,GW20_G,GW20_A,GW20_CS,GW20_Cost,GW21_Status,GW21_Min,GW21_Pts,GW21_xG,GW21_xA,GW21_xGC,GW21_G,GW21_A,GW21_CS,GW21_Cost,GW22_Status,GW22_Min,GW22_Pts,GW22_xG,GW22_xA,GW22_xGC,GW22_G,GW22_A,GW22_CS,GW22_Cost,GW23_Status,GW23_Min,GW23_Pts,GW23_xG,GW23_xA,GW23_xGC,GW23_G,GW23_A,GW23_CS,GW23_Cost
Alderete,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bench,90,1,0.07,0.01,0.61,0,0,0,4.1,Bench,90,1,0.00,0.01,1.52,0,0,0,4.1
Bruno G.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,3,0.15,0.44,0.29,0,0,1,7.2,Bench,0,0,0.00,0.00,0.00,0,0,0,7.2
Calvert-Lewin,Start,20,1,0.00,0.00,0.10,0,0,0,-,Start,90,2,0.28,0.12,1.58,0,0,0,5.9,Start,86,8,0.94,0.02,1.50,1,1,0,5.9,Start,90,2,0.25,0.03,0.39,0,0,1,6.0,Start,90,2,0.50,0.02,0.60,0,0,0,6.0
Darlow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bench,90,6,0.00,0.00,0.39,0,0,1,3.9,Bench,90,2,0.00,0.00,0.60,0,0,0,3.9
Dorgu,Start,90,2,0.08,0.09,1.16,0,0,0,-,Start,90,1,0.06,0.05,0.90,0,0,0,4.2,Start,90,5,0.19,0.21,0.24,0,1,0,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dúbravka,Start,90,2,0.00,0.00,2.31,0,0,0,-,Start,90,1,0.00,0.00,1.45,0,0,0,4.0,Start,90,3,0.00,0.00,2.55,0,0,0,4.0,Start,90,5,0.00,0.00,3.18,0,0,0,4.0,Start,90,5,0.00,0.00,2.05,0,0,0,4.0
Foden,Start,90,3,0.24,0.25,0.81,0,0,1,-,Start,90,2,0.20,0.09,1.73,0,0,0,8.8,Start,72,2,0.00,0.28,1.16,0,0,0,8.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabriel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,8,0.14,0.01,0.34,0,0,1,6.7,Start,90,1,0.00,0.01,0.71,0,0,0,6.7
Haaland,Capt,90,2,0.34,0.02,0.81,0,0,1,-,Capt,90,2,0.41,0.02,1.73,0,0,0,15.1,Capt,90,6,1.53,0.02,1.16,1,0,0,15.1,Capt,79,2,0.13,0.00,2.11,0,0,0,15.1,Capt,17,1,0.00,0.00,0.42,0,0,0,15.1
Hall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,4,0.00,0.16,1.89,0,1,0,5.3,Start,90,9,0.09,0.06,0.29,0,0,1,5.3,Start,90,1,0.00,0.12,1.16,0,0,0,5.3
