Name,GW19_Status,GW19_Min,GW19_Pts,GW19_xG,GW19_xA,GW19_xGC,GW19_G,GW19_A,GW19_CS,GW19_Cost,GW20_Status,GW20_Min,GW20_Pts,GW20_xG,GW20_xA,GW20_xGC,GW20_G,GW20_A,GW20_CS,GW20_Cost,GW21_Status,GW21_Min,GW21_Pts,GW21_xG,GW21_xA,GW21_xGC,GW21_G,GW21_A,GW21_CS,GW21_Cost,GW22_Status,GW22_Min,GW22_Pts,GW22_xG,GW22_xA,GW22_xGC,GW22_G,GW22_A,GW22_CS,GW22_Cost,GW23_Status,GW23_Min,GW23_Pts,GW23_xG,GW23_xA,GW23_xGC,GW23_G,GW23_A,GW23_CS,GW23_Cost,GW24_Status,GW24_Min,GW24_Pts,GW24_xG,GW24_xA,GW24_xGC,GW24_G,GW24_A,GW24_CS,GW24_Cost,GW26_Status,GW26_Min,GW26_Pts,GW26_xG,GW26_xA,GW26_xGC,GW26_G,GW26_A,GW26_CS,GW26_Cost,GW27_Status,GW27_Min,GW27_Pts,GW27_xG,GW27_xA,GW27_xGC,GW27_G,GW27_A,GW27_CS,GW27_Cost
B.Fernandes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,5,0.37,0.03,1.19,0,1,0,9.1,Start,90,10,0.00,0.28,1.94,0,2,0,9.1,Start,90,2,0.00,0.26,1.11,0,0,0,9.8,Start,90,2,0.03,0.05,0.62,0,0,1,9.9
Calvert-Lewin,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.28,0.12,1.58,0,0,0,6.0,Start,86,8,0.94,0.02,1.50,1,1,0,5.9,Start,90,2,0.25,0.03,0.39,0,0,1,6.0,Start,90,2,0.50,0.02,0.60,0,0,0,6.0,Bench,84,2,0.00,0.00,1.67,0,0,0,6.0,Bench,0,0,0.00,0.00,0.00,0,0,0,5.9,Start,90,2,0.38,0.04,1.46,0,0,0,5.8
Dúbravka,Bench,90,2,0.00,0.00,2.31,0,0,0,-,Bench,90,1,0.00,0.00,1.45,0,0,0,4.0,Bench,90,3,0.00,0.00,2.55,0,0,0,4.0,Bench,90,5,0.00,0.00,3.18,0,0,0,4.0,Bench,90,5,0.00,0.00,2.05,0,0,0,4.0,Bench,90,1,0.00,0.00,1.47,0,0,0,4.0,Bench,90,1,0.00,0.00,1.80,0,0,0,4.0,Bench,90,2,0.00,0.00,1.99,0,0,0,4.0
Enzo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,8,0.33,0.06,1.12,1,0,0,6.4,Start,90,2,0.13,0.69,1.44,0,0,0,6.9,Start,90,2,0.09,0.03,0.85,0,0,0,6.8
Foden,Start,90,3,0.24,0.25,0.81,0,0,1,-,Start,90,2,0.20,0.09,1.73,0,0,0,8.7,Start,72,2,0.00,0.28,1.16,0,0,0,8.8,Start,45,1,0.00,0.03,0.38,0,0,0,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabriel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,6,0.14,0.05,0.36,0,0,1,6.6,Start,90,8,0.14,0.01,0.34,0,0,1,6.7,Start,90,1,0.00,0.01,0.71,0,0,0,6.7,Start,90,8,0.02,0.05,0.15,0,0,1,6.7,TC,90,3,0.12,0.03,1.51,0,0,0,7.1,Start,90,2,0.00,0.01,0.76,0,0,0,7.1
Garner,Bench,90,16,0.19,0.62,1.55,1,1,1,-,Start,90,4,0.04,0.13,2.40,0,0,0,5.1,Start,90,6,0.08,0.36,0.73,0,0,0,5.1,Start,90,4,0.02,0.09,1.44,0,0,1,5.1,Start,90,2,0.06,0.15,1.23,0,0,0,5.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haaland,Capt,90,2,0.34,0.02,0.81,0,0,1,-,Capt,90,2,0.41,0.02,1.73,0,0,0,15.1,Capt,90,6,1.53,0.02,1.16,1,0,0,15.1,Capt,79,2,0.13,0.00,2.11,0,0,0,15.1,Capt,17,1,0.00,0.00,0.42,0,0,0,15.1,Capt,90,5,0.28,0.07,1.05,0,1,0,15.1,Start,45,5,0.12,0.00,0.62,1,0,0,14.9,Capt,90,6,0.31,0.22,0.62,0,1,0,14.8
Heaven,Start,74,2,0.04,0.04,1.11,0,0,0,-,Bench,90,4,0.00,0.00,0.90,0,0,0,3.9,Bench,60,0,0.27,0.01,0.07,0,0,0,3.9,Bench,1,1,0.00,0.00,0.00,0,0,0,3.9,Bench,0,0,0.00,0.00,0.00,0,0,0,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J.Timber,Bench,82,9,0.30,0.01,0.67,0,1,1,-,Start,90,3,0.00,0.01,1.43,0,0,0,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
