Name,GW26_Status,GW26_Min,GW26_Pts,GW26_xG,GW26_xA,GW26_xGC,GW26_G,GW26_A,GW26_CS,GW26_Cost,GW27_Status,GW27_Min,GW27_Pts,GW27_xG,GW27_xA,GW27_xGC,GW27_G,GW27_A,GW27_CS,GW27_Cost
Andersen,Bench,90,2,0.00,0.01,1.37,0,0,0,4.5,Bench,90,4,0.00,0.01,1.85,0,0,0,4.5
B.Fernandes,Start,90,2,0.00,0.26,1.11,0,0,0,9.8,Start,90,2,0.03,0.05,0.62,0,0,1,9.9
Dorgu,Bench,0,0,0.00,0.00,0.00,0,0,0,4.3,Bench,0,0,0.00,0.00,0.00,0,0,0,4.2
Dúbravka,Bench,90,1,0.00,0.00,1.80,0,0,0,4.0,Bench,90,2,0.00,0.00,1.99,0,0,0,4.0
Enzo,Start,90,2,0.13,0.69,1.44,0,0,0,6.9,-,-,-,-,-,-,-,-,-,-
Gabriel,TC,90,3,0.12,0.03,1.51,0,0,0,7.1,-,-,-,-,-,-,-,-,-,-
Haaland,Start,45,5,0.12,0.00,0.62,1,0,0,14.9,Start,90,6,0.31,0.22,0.62,0,1,0,14.8
J.Timber,Start,90,2,0.00,0.10,1.51,0,0,0,6.4,Start,56,3,0.00,0.20,0.35,0,1,0,6.4
João Pedro,Start,90,10,1.03,0.15,1.44,1,1,0,7.7,Capt,79,7,1.22,0.06,0.40,1,0,1,7.7
Marc Guiu,Bench,0,0,0.00,0.00,0.00,0,0,0,4.2,Bench,0,0,0.00,0.00,0.00,0,0,0,4.1
Mbeumo,-,-,-,-,-,-,-,-,-,-,Start,77,6,0.43,0.16,0.28,0,1,1,8.6
O'Reilly,Start,90,13,0.48,0.01,1.42,1,0,1,4.9,Start,90,17,0.32,0.11,0.62,2,0,0,5.0
Raya,Start,90,2,0.00,0.00,1.51,0,0,0,6.0,Start,90,3,0.00,0.00,0.76,0,0,0,6.0
Rogers,Start,90,2,0.20,0.03,0.50,0,0,1,7.6,Start,90,2,0.07,0.20,1.35,0,0,0,7.7
Semenyo,Start,90,14,0.55,0.17,1.42,1,1,1,8.0,Start,86,4,0.32,0.07,0.45,0,0,0,8.0
Senesi,-,-,-,-,-,-,-,-,-,-,Start,90,5,0.06,0.01,3.27,0,0,1,4.9
Wilson,Start,71,2,0.08,0.23,1.37,0,0,0,6.0,Start,90,8,0.11,0.21,1.85,0,1,0,5.9
