Name,GW26_Status,GW26_Min,GW26_Pts,GW26_xG,GW26_xA,GW26_xGC,GW26_G,GW26_A,GW26_CS,GW26_Cost,GW27_Status,GW27_Min,GW27_Pts,GW27_xG,GW27_xA,GW27_xGC,GW27_G,GW27_A,GW27_CS,GW27_Cost
Anderson,Start,90,5,0.27,0.52,0.42,0,0,1,5.4,Bench,76,5,0.10,0.04,0.53,0,0,1,5.4
Ballard,Bench,90,4,0.05,0.00,2.53,0,0,0,4.6,Bench,90,4,0.00,0.06,1.88,0,1,0,4.6
Bruno G.,Start,90,3,0.00,0.40,1.54,0,0,0,7.0,-,-,-,-,-,-,-,-,-,-
Cucurella,Start,45,1,0.00,0.02,0.01,0,0,0,6.1,-,-,-,-,-,-,-,-,-,-
Ekitiké,Start,87,2,0.42,0.13,0.57,0,0,1,8.9,Start,90,2,0.71,0.00,1.19,0,0,1,8.9
Enzo,Start,90,2,0.13,0.69,1.44,0,0,0,6.9,Start,90,2,0.09,0.03,0.85,0,0,0,6.8
Gabriel,TC,90,3,0.12,0.03,1.51,0,0,0,7.1,Start,90,2,0.00,0.01,0.76,0,0,0,7.1
Guéhi,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.00,0.18,0.62,0,0,0,5.2
Haaland,Start,45,5,0.12,0.00,0.62,1,0,0,14.9,Capt,90,6,0.31,0.22,0.62,0,1,0,14.8
J.Timber,Start,90,2,0.00,0.10,1.51,0,0,0,6.4,Start,56,3,0.00,0.20,0.35,0,1,0,6.4
Raya,Start,90,2,0.00,0.00,1.51,0,0,0,6.0,Start,90,3,0.00,0.00,0.76,0,0,0,6.0
Roefs,Bench,90,2,0.00,0.00,2.53,0,0,0,4.9,Bench,90,1,0.00,0.03,1.88,0,0,0,4.9
Rogers,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.07,0.20,1.35,0,0,0,7.7
Semenyo,Start,90,14,0.55,0.17,1.42,1,1,1,8.0,Start,86,4,0.32,0.07,0.45,0,0,0,8.0
Stach,Bench,0,0,0.00,0.00,0.00,0,0,0,4.7,Bench,82,11,0.07,0.34,1.08,1,0,1,4.7
Thiago,Bench,90,2,0.77,0.22,0.60,0,0,0,7.0,Start,90,2,0.31,0.43,1.09,0,0,0,7.1
Virgil,Start,90,17,0.79,0.01,0.63,1,0,1,5.9,Start,90,11,0.13,0.01,1.19,0,1,1,6.0
